	log2FoldChange	padj	external_gene_name	Description
ENSG00000019582	-5.18617669654862	0.0	CD74	CD74 molecule
ENSG00000102837	-3.87935351385201	0.0	OLFM4	olfactomedin 4
ENSG00000171747	4.48947662699694	0.0		
ENSG00000118849	-3.02799035728676	4.66965620846301e-285	RARRES1	retinoic acid receptor responder 1
ENSG00000125255	-7.38856127940975	6.072543575496179e-246	SLC10A2	solute carrier family 10 member 2
ENSG00000131746	2.95779439332072	1.84990327220138e-232	TNS4	tensin 4
ENSG00000162344	-6.27940403732668	6.39093804007211e-220	FGF19	fibroblast growth factor 19
ENSG00000196188	2.71848881975234	1.11860437242724e-200	CTSE	cathepsin E
ENSG00000134193	7.21877431260133	2.2316170354748797e-192	REG4	regenerating family member 4
ENSG00000196352	2.69570462628301	2.64368004544311e-191	CD55	CD55 molecule (Cromer blood group)
ENSG00000160182	2.54227867636145	5.07916950943955e-190	TFF1	trefoil factor 1
ENSG00000180730	4.34292732561521	1.09880568608935e-185	SHISA2	shisa family member 2
ENSG00000001626	-2.50424167732512	1.2756877147245399e-179	CFTR	CF transmembrane conductance regulator
ENSG00000164266	-2.78249265673546	4.6182172280613795e-174	SPINK1	serine peptidase inhibitor Kazal type 1
ENSG00000042062	-4.47157444315868	1.1986705891371701e-172	RIPOR3	RIPOR family member 3
ENSG00000106211	-2.83427956413783	2.79245574397507e-170	HSPB1	heat shock protein family B (small) member 1
ENSG00000124102	2.69253700458079	2.79245574397507e-170	PI3	peptidase inhibitor 3
ENSG00000187908	-2.08590381664399	2.11388518445469e-159	DMBT1	deleted in malignant brain tumors 1
ENSG00000240583	-3.70214410994805	3.6497219120979697e-153	AQP1	aquaporin 1 (Colton blood group)
ENSG00000129654	-4.15781302643616	1.33793950153165e-150	FOXJ1	forkhead box J1
ENSG00000140297	2.04722101547395	1.68998459689675e-147	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
ENSG00000214814	6.30416402662938	1.13373142271263e-146	FER1L6	fer-1 like family member 6
ENSG00000257743	-1.93501519628531	8.41426285649705e-146		
ENSG00000248144	2.28555755707927	2.91858030894935e-143	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ENSG00000138449	-2.19352878165888	3.64329286330413e-142	SLC40A1	solute carrier family 40 member 1
ENSG00000127920	-6.04496319904065	9.69824808706324e-137	GNG11	G protein subunit gamma 11
ENSG00000162896	-1.45457237536781	7.481231008613469e-134	PIGR	polymeric immunoglobulin receptor
ENSG00000261115	-6.63839862825272	1.86304006848355e-118	TMEM178B	transmembrane protein 178B
ENSG00000129538	-2.48174003128273	1.6754469536111998e-117	RNASE1	ribonuclease A family member 1, pancreatic
ENSG00000089356	1.80428320968908	6.345914037484679e-116	FXYD3	FXYD domain containing ion transport regulator 3
ENSG00000130303	-2.55537207039167	1.8364840132268601e-112	BST2	bone marrow stromal cell antigen 2
ENSG00000134318	1.79778616470136	1.47675549914081e-108	ROCK2	Rho associated coiled-coil containing protein kinase 2
ENSG00000204287	-4.03318905410818	5.60864399065854e-106		
ENSG00000145287	1.66165374784404	9.53339180013278e-103	PLAC8	placenta associated 8
ENSG00000020181	-3.57958484838357	6.0918559714532e-101	ADGRA2	adhesion G protein-coupled receptor A2
ENSG00000197903	1.87868421311809	2.81394024469495e-100	H2BC12	H2B clustered histone 12
ENSG00000155066	-3.14019529969025	2.0836839332585103e-98		
ENSG00000161714	1.6851803933284	2.89367690238938e-96	PLCD3	phospholipase C delta 3
ENSG00000157765	-5.82259249214208	4.4642299779984e-95	SLC34A2	solute carrier family 34 member 2
ENSG00000187134	2.05558755279447	2.5989508932659797e-94	AKR1C1	aldo-keto reductase family 1 member C1
ENSG00000119938	-3.1181364026138	8.80930881355809e-93	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
ENSG00000101134	-3.02257339255956	6.40088580608687e-90	DOK5	docking protein 5
ENSG00000157227	1.74430418504989	9.7863512425456e-89	MMP14	matrix metallopeptidase 14
ENSG00000125999	-1.50478572617445	6.6973703300466e-85	BPIFB1	BPI fold containing family B member 1
ENSG00000137642	-1.43841998384627	1.61461552947097e-84	SORL1	sortilin related receptor 1
ENSG00000184292	-1.25471466863297	4.03165526536282e-83	TACSTD2	tumor associated calcium signal transducer 2
ENSG00000128422	1.99254878322935	2.16095310062933e-81	KRT17	keratin 17
ENSG00000164825	-2.35715372412895	4.2916109937764896e-78		
ENSG00000168955	2.92435593183412	7.95377053736727e-78	TM4SF20	transmembrane 4 L six family member 20
ENSG00000234771	-2.58833796690547	8.833725975037439e-78	SLC25A25-AS1	SLC25A25 antisense RNA 1
ENSG00000148346	-1.11725052122881	6.47550326673217e-75	LCN2	lipocalin 2
ENSG00000102243	-4.13750036520956	6.50830872929239e-73	VGLL1	vestigial like family member 1
ENSG00000054983	1.14803338000851	9.51361952291835e-73	GALC	galactosylceramidase
ENSG00000163297	2.28003559986478	1.89292498659346e-72	ANTXR2	ANTXR cell adhesion molecule 2
ENSG00000087495	1.61825466930399	8.88331199709826e-71	PHACTR3	phosphatase and actin regulator 3
ENSG00000168268	1.27236656282437	1.1495854123208701e-68	NT5DC2	5'-nucleotidase domain containing 2
ENSG00000132329	-2.10689342037788	6.99988666875582e-67	RAMP1	receptor activity modifying protein 1
ENSG00000149573	-1.23523447873687	8.35450415498455e-67	MPZL2	myelin protein zero like 2
ENSG00000165949	2.43815503777219	9.48045204218343e-67		
ENSG00000172985	2.24874931319293	3.56850746113098e-66	SH3RF3	SH3 domain containing ring finger 3
ENSG00000137673	-1.48405865693666	5.84484657930752e-64	MMP7	matrix metallopeptidase 7
ENSG00000115758	1.17217961124732	6.59895306683763e-64	ODC1	ornithine decarboxylase 1
ENSG00000151748	1.11036485092679	8.84210899946524e-64	SAV1	salvador family WW domain containing protein 1
ENSG00000289548	2.951000012318	4.30012197470393e-63		
ENSG00000176153	1.05070724796955	1.1838546218343099e-62	GPX2	glutathione peroxidase 2
ENSG00000137033	7.51653440929139	2.25051539710234e-62	IL33	interleukin 33
ENSG00000135480	1.00599724134191	5.72678643159999e-62	KRT7	keratin 7
ENSG00000151632	1.06183499326676	3.70580374076276e-61	AKR1C2	aldo-keto reductase family 1 member C2
ENSG00000163898	1.13796211766067	4.50749978602123e-61	LIPH	lipase H
ENSG00000107099	-2.25353817589567	9.912343266164051e-60	DOCK8	dedicator of cytokinesis 8
ENSG00000080824	1.02067055914352	1.02930044494534e-59	HSP90AA1	heat shock protein 90 alpha family class A member 1
ENSG00000178950	-1.61571039426446	2.27053464733912e-58	GAK	cyclin G associated kinase
ENSG00000123843	2.52273866552304	3.50513234706294e-58	C4BPB	complement component 4 binding protein beta
ENSG00000175416	1.20790438872839	4.7359044994762e-57	CLTB	clathrin light chain B
ENSG00000177469	1.39832588334622	5.99101673605828e-57	CAVIN1	caveolae associated protein 1
ENSG00000272602	-2.18112289818096	1.51246646606276e-56	ZNF595	zinc finger protein 595
ENSG00000189334	1.63644079100872	1.78941417708469e-56	S100A14	S100 calcium binding protein A14
ENSG00000167600	1.59078972388823	9.12752561584312e-55	CYP2S1	cytochrome P450 family 2 subfamily S member 1
ENSG00000023445	-1.01537687438776	1.53662031237574e-54	BIRC3	baculoviral IAP repeat containing 3
ENSG00000106351	-1.31474346742089	1.6984046167165502e-54	AGFG2	ArfGAP with FG repeats 2
ENSG00000118515	-1.84650489339668	2.4447601816698502e-54	SGK1	serum/glucocorticoid regulated kinase 1
ENSG00000188643	1.48839484574617	4.24692899603926e-54	S100A16	S100 calcium binding protein A16
ENSG00000136205	-1.15422892110008	5.29571390608434e-54	TNS3	tensin 3
ENSG00000214022	-1.1400877404965	6.179237388397021e-52	REPIN1	replication initiator 1
ENSG00000275395	-1.2411754170831	1.63832114434552e-51		
ENSG00000165502	1.03430038258905	6.48737792140286e-51	RPL36AL	ribosomal protein L36a like
ENSG00000134827	-2.82843441971665	1.65320207333888e-50	TCN1	transcobalamin 1
ENSG00000130066	1.43841094431475	2.07852232336331e-49	SAT1	spermidine/spermine N1-acetyltransferase 1
